task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
dog,exact match dist,exact match eval,BAU,0.80545229244114,0.8051945885723497,0.8055143348807742,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,SAD,0.7843866171003717,0.7841976901926816,0.7844354406595174,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,DEM,0.7769516728624535,0.776908204091734,0.7769412971428232,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,RANDOM,0.49814126394052044,0.4973978284214236,0.49770809354937856,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,MAS,0.8698884758364313,0.8691061113350571,0.8699093725017442,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,BAU,0.80545229244114,0.8051945885723497,0.8055143348807742,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,SAD,0.7843866171003717,0.7841976901926816,0.7844354406595174,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,DEM,0.7980173482032218,0.7989954209132728,0.7979203380599486,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,RANDOM,0.4919454770755886,0.49188784754876386,0.49186631041957696,0.0,,0.45,var0.25
dog,exact match dist,exact match eval,MAS,0.9244114002478315,0.9243371925205787,0.9244478700457286,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,BAU,0.8785625774473358,0.8780047284071774,0.8786120752645881,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,SAD,0.8488228004956629,0.848735395204469,0.8488777815272728,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,DEM,0.8686493184634448,0.8690736446655005,0.8685247556467123,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,RANDOM,0.5216852540272615,0.5207009495590728,0.5225936214833357,0.0,,0.5,var0.25
dog,exact match dist,exact match eval,MAS,0.8736059479553904,0.87201087771943,0.8736456604857535,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,BAU,0.8004956629491945,0.7981443220740941,0.8006121222516694,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,SAD,0.8004956629491945,0.798742259413488,0.8008333141497237,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,ORACLE,0.9987608426270136,0.9985978555437728,0.9987609594322331,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,DEM,0.8240396530359355,0.8223202556114406,0.8244272978527444,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,RANDOM,0.5154894671623296,0.5136496944846225,0.5165320578240721,0.0,,0.55,var0.25
dog,exact match dist,exact match eval,MAS,0.9714993804213135,0.9715240728703204,0.9714712147006271,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,BAU,0.9491945477075588,0.9493273527527533,0.9491348449007214,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,SAD,0.9008674101610905,0.9004765489249021,0.9010152148639877,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,DEM,0.9169764560099133,0.916649516330471,0.9170053546713445,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,RANDOM,0.5576208178438662,0.5556182588922786,0.5582599858411451,0.0,,0.6,var0.25
dog,exact match dist,exact match eval,MAS,0.9925650557620818,0.9922938106446175,0.9925710086874726,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,BAU,0.9640644361833953,0.9626958397230667,0.9640612868098178,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,SAD,0.9479553903345725,0.9480643371022692,0.9479209473572258,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,DEM,0.9516728624535316,0.9520176079126164,0.9516363885795265,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,RANDOM,0.6257744733581165,0.6255061504624357,0.6260037489047258,0.0,,0.65,var0.25
dog,exact match dist,exact match eval,MAS,0.9938042131350682,0.9938479754676496,0.9938071803340631,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,BAU,0.9863692688971499,0.9865169141792149,0.9863679980925875,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,SAD,0.9739776951672863,0.9735391149864835,0.9739916141598787,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,DEM,0.9752168525402726,0.9744241173716238,0.9752117412504484,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,RANDOM,0.6939281288723668,0.6924333234090259,0.6947198303395999,0.0,,0.7,var0.25
dog,exact match dist,exact match eval,MAS,0.9987608426270136,0.998786188749105,0.9987611744675192,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,BAU,0.9950433705080545,0.9948951597396554,0.9950514420755844,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,SAD,0.9925650557620818,0.9927590577653003,0.99256303107964,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,DEM,0.9987608426270136,0.9987514329088825,0.9987610883316077,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,RANDOM,0.7397769516728625,0.7381238668997536,0.7403662261178842,0.0,,0.75,var0.25
dog,exact match dist,exact match eval,MAS,0.8930232558139535,0.8926190862319128,0.893043579116018,0.2,1,0.45,var0.25
dog,exact match dist,exact match eval,BAU,0.8186046511627907,0.8189321613577485,0.8190184904313248,0.2,1,0.45,var0.25
dog,exact match dist,exact match eval,SAD,0.8,0.7992343569171841,0.8001484824556736,0.2,1,0.45,var0.25
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.2,1,0.45,var0.25
dog,exact match dist,exact match eval,DEM,0.8170542635658915,0.8178916263475087,0.8169828800676953,0.2,1,0.45,var0.25
