task,level,fold,noise_level,accuracy,f1
face,0.8,5,0.35,0.5172413793103449,0.5178526510530913
face,0.0,1,0.35,0.4537671232876712,0.4534871310936286
face,0.2,1,0.45,0.734475374732334,0.7343191064024706
face,0.2,2,0.45,0.708779443254818,0.7086265593750887
face,0.2,3,0.45,0.734475374732334,0.7341605519885008
face,0.2,4,0.45,0.721627408993576,0.7213365462728778
face,0.2,5,0.45,0.7264957264957265,0.7261016188275332
face,0.8,1,0.45,0.7435897435897436,0.7424935328546898
face,0.8,2,0.45,0.7863247863247863,0.7841278026295623
face,0.8,3,0.45,0.6752136752136753,0.6755249210013571
face,0.8,4,0.45,0.7264957264957265,0.7265110637475977
face,0.8,5,0.45,0.75,0.7487068905277352
face,0.0,1,0.45,0.7157534246575342,0.7155522609028803
face,0.2,1,0.55,0.867237687366167,0.8671239842412635
face,0.2,2,0.55,0.8522483940042827,0.8522575563859875
face,0.2,3,0.55,0.8779443254817987,0.8776906329156814
face,0.2,4,0.55,0.8479657387580299,0.8479088013138759
face,0.2,5,0.55,0.8653846153846154,0.8653819737966185
face,0.8,1,0.55,0.8632478632478633,0.8631149799749265
face,0.8,2,0.55,0.905982905982906,0.9058294981371904
face,0.8,3,0.55,0.8034188034188035,0.7991645757163
face,0.8,4,0.55,0.8888888888888888,0.8889380393617682
face,0.8,5,0.55,0.8706896551724138,0.8700744684582391
face,0.0,1,0.55,0.8647260273972602,0.8646185312024353
face,0.2,1,0.65,0.9250535331905781,0.925044146891821
face,0.2,2,0.65,0.9400428265524625,0.9399151243089953
face,0.2,3,0.65,0.9379014989293362,0.9379571456951018
face,0.2,4,0.65,0.9443254817987152,0.9443096891823266
face,0.2,5,0.65,0.9358974358974359,0.9358992322408485
face,0.8,1,0.65,0.9829059829059829,0.9830634756864265
face,0.8,2,0.65,0.9230769230769231,0.9228581480397461
face,0.8,3,0.65,0.9316239316239316,0.9304889457929291
face,0.8,4,0.65,0.8974358974358975,0.8978839478714852
face,0.8,5,0.65,0.9396551724137931,0.939849824546434
face,0.0,1,0.65,0.9366438356164384,0.9366299995770806
face,0.2,1,0.75,0.9935760171306209,0.9935663482281567
face,0.2,2,0.75,0.9914346895074947,0.991425095781711
face,0.2,3,0.75,0.9914346895074947,0.9914246731784252
face,0.2,4,0.75,0.9957173447537473,0.9957174662107603
