task,task_type,level,fold,noise_level,accuracy,f1
weather_ordinal,categorical,0.2,1,0.95,0.9849340866290018,0.9849278360705855
weather_ordinal,categorical,0.2,2,0.95,0.9887005649717514,0.9887031857216755
weather_ordinal,categorical,0.2,3,0.95,0.9830508474576272,0.9830681908614586
weather_ordinal,categorical,0.2,4,0.95,0.9849340866290018,0.9849312643686616
weather_ordinal,categorical,0.2,5,0.95,0.9793233082706767,0.9793226867936258
weather_ordinal,categorical,0.8,1,0.95,0.9924812030075187,0.9924799669731619
weather_ordinal,categorical,0.8,2,0.95,0.9774436090225563,0.9776218794623305
weather_ordinal,categorical,0.8,3,0.95,0.9849624060150376,0.9849743406134384
weather_ordinal,categorical,0.8,4,0.95,0.9849624060150376,0.9849492340502475
weather_ordinal,categorical,0.8,5,0.95,1.0,1.0
weather_ordinal,categorical,0.0,0,0.95,0.9849397590361446,0.9849435012255937
