method,supervision_amt,fold,acc,f1_weighted,f1_macro
ORACLE,0.0,5,0.8935361216730038,0.8912907052662777,0.8917451822113504
DEM,0.0,5,0.6501901140684411,0.6317502914463621,0.6323918960398319
RANDOM,0.0,5,0.6026615969581749,0.5837134102499326,0.5845726865917976
MAS,0.0,6,0.6273764258555133,0.6021646507612981,0.6008088791229066
BAU,0.0,6,0.591254752851711,0.5693406691976419,0.567930698940691
SAD,0.0,6,0.6577946768060836,0.6408612271492488,0.6398642855504938
ORACLE,0.0,6,0.8935361216730038,0.8909384456227093,0.8905825957263088
DEM,0.0,6,0.6501901140684411,0.6291965253707965,0.6280493185788771
RANDOM,0.0,6,0.5893536121673004,0.5749914018916334,0.5739380900354069
MAS,0.0,7,0.6102661596958175,0.5868524168316946,0.5897829077795123
BAU,0.0,7,0.5570342205323194,0.5372010597236561,0.540299189553179
SAD,0.0,7,0.6387832699619772,0.620877888332417,0.62324836693173
ORACLE,0.0,7,0.8859315589353612,0.8837755464681174,0.8844151647022067
DEM,0.0,7,0.629277566539924,0.6083622225246316,0.6109702315189116
RANDOM,0.0,7,0.5931558935361216,0.5763615385469888,0.5789093304832497
MAS,0.0,8,0.6197718631178707,0.5990494539101315,0.5989124888378621
BAU,0.0,8,0.5779467680608364,0.5537374729641472,0.552863565252299
SAD,0.0,8,0.6463878326996197,0.6299535935756837,0.629838771887773
ORACLE,0.0,8,0.8954372623574145,0.8931990879336369,0.8927099074091536
DEM,0.0,8,0.6349809885931559,0.6169900984403489,0.6168952621849559
RANDOM,0.0,8,0.5703422053231939,0.5498671451254228,0.5499405415560863
MAS,0.0,9,0.6197718631178707,0.5994098545082914,0.6002354916690364
BAU,0.0,9,0.6083650190114068,0.5919429992769605,0.592165590094339
SAD,0.0,9,0.6425855513307985,0.6255191221425777,0.6262066594634452
ORACLE,0.0,9,0.8840304182509505,0.8817814591684723,0.8824794681914141
DEM,0.0,9,0.629277566539924,0.6097281684854405,0.6105289157897766
RANDOM,0.0,9,0.5817490494296578,0.5671904510479716,0.567892708278833
MAS,0.0,10,0.623574144486692,0.6034354778072484,0.5959143746804003
BAU,0.0,10,0.5836501901140685,0.5664876693728625,0.5584063405518183
SAD,0.0,10,0.655893536121673,0.6423539229299493,0.6363547658070366
ORACLE,0.0,10,0.8992395437262357,0.8972420920931156,0.8960173506835014
DEM,0.0,10,0.6482889733840305,0.634006648311025,0.627731737101144
RANDOM,0.0,10,0.6121673003802282,0.5953351561108273,0.5889219719005387
DS,0.0,1,0.6342857142857142,0.6196838154358371,0.6210700967107613
MV,0.0,1,0.6209523809523809,0.5984848627240552,0.5998330892464774
DS,0.0,2,0.6476190476190476,0.6335721047365507,0.6353832588318519
MV,0.0,2,0.6342857142857142,0.6145192831386812,0.6166457203758674
DS,0.0,3,0.6495238095238095,0.6384574036593681,0.638585321278129
MV,0.0,3,0.638095238095238,0.6199797259639442,0.6201236673198953
DS,0.0,4,0.6361904761904762,0.6227988324016605,0.622332879738678
MV,0.0,4,0.6323809523809524,0.61188633729981,0.6113751516764622
DS,0.0,5,0.655893536121673,0.643196497109715,0.6437307538323699
MV,0.0,5,0.6406844106463878,0.6211395445934879,0.6217236884978821
DS,0.0,6,0.6596958174904943,0.6464340797596412,0.6454954462029934
MV,0.0,6,0.6463878326996197,0.6272352439180064,0.6261297932011538
DS,0.0,7,0.6406844106463878,0.6278338713580022,0.6300722296870588
MV,0.0,7,0.623574144486692,0.6041869439601434,0.6066374682281398
DS,0.0,8,0.6463878326996197,0.6343865374746775,0.6343117408705878
MV,0.0,8,0.6425855513307985,0.6255245329687965,0.6254776089419787
DS,0.0,9,0.6406844106463878,0.6285885000332724,0.629029614098034
MV,0.0,9,0.6349809885931559,0.6178625028949369,0.618771260754308
DS,0.0,10,0.6615969581749049,0.651008692779077,0.6451876403773711
MV,0.0,10,0.6501901140684411,0.6351275567662295,0.628862005815025
MACE,0.0,1,0.6361904761904762,0.6144844263776912,0.6159792236983084
