method,supervision_amt,fold,acc,f1_weighted,f1_macro
SAD,0.0,7,0.9254807692307693,0.9257989428900957,0.9246759770336493
ORACLE,0.0,7,0.9975961538461539,0.9975969902130893,0.997546808196963
DEM,0.0,7,0.9399038461538461,0.9400348068936943,0.9389122862664248
RANDOM,0.0,7,0.7259615384615384,0.7273342728699871,0.7250463821892393
MAS,0.1,8,0.9206730769230769,0.9208325163453932,0.919557000966863
BAU,0.1,8,0.9182692307692307,0.9184891684891685,0.9172575172575173
SAD,0.1,8,0.9206730769230769,0.9209796834465268,0.9199696854869268
ORACLE,0.1,8,0.9975961538461539,0.9975969314192933,0.9975533873234881
DEM,0.1,8,0.9350961538461539,0.9352568492456813,0.9342569667597324
RANDOM,0.1,8,0.7211538461538461,0.7217728165286434,0.7210506844247133
MAS,0.0,8,0.9182692307692307,0.9184129913567752,0.917071225873027
BAU,0.0,8,0.9086538461538461,0.9088592722869335,0.9074212893553224
SAD,0.0,8,0.9206730769230769,0.9209978937520918,0.9200405388876269
ORACLE,0.0,8,0.9975961538461539,0.9975969314192933,0.9975533873234881
DEM,0.0,8,0.9350961538461539,0.9352568492456813,0.9342569667597324
RANDOM,0.0,8,0.7283653846153846,0.7293319663539706,0.7280117571500484
MAS,0.1,9,0.9206730769230769,0.9208191789792493,0.9197338494191112
BAU,0.1,9,0.9158653846153846,0.9160203413416281,0.9148692342323906
SAD,0.1,9,0.9182692307692307,0.9185433162552399,0.9176525384257103
ORACLE,0.1,9,0.9975961538461539,0.9975968730750051,0.9975594731747381
DEM,0.1,9,0.9326923076923077,0.9328307620383358,0.9319308087891539
RANDOM,0.1,9,0.7067307692307693,0.7078178574738208,0.706051339078862
MAS,0.0,9,0.9230769230769231,0.9232351566152409,0.9222066386161758
BAU,0.0,9,0.9158653846153846,0.9160203413416281,0.9148692342323906
SAD,0.0,9,0.9182692307692307,0.9185602094240838,0.9177196044211751
ORACLE,0.0,9,0.9975961538461539,0.9975968730750051,0.9975594731747381
DEM,0.0,9,0.9375,0.9376532470868459,0.9368563622352475
RANDOM,0.0,9,0.7379807692307693,0.7390064721540791,0.7370310443017787
MAS,0.1,10,0.9350961538461539,0.9351737922908601,0.9344595185995623
BAU,0.1,10,0.9302884615384616,0.9303994082840237,0.9296703296703297
SAD,0.1,10,0.9278846153846154,0.9280557792992349,0.9273996509598604
ORACLE,0.1,10,0.9975961538461539,0.9975967863225876,0.9975676924066397
DEM,0.1,10,0.9399038461538461,0.9399994899000205,0.9393709738537326
RANDOM,0.1,10,0.7211538461538461,0.7219936663744003,0.7205078305995738
MAS,0.0,10,0.9302884615384616,0.9303409873607792,0.9295355914185752
BAU,0.0,10,0.9278846153846154,0.9280357654688116,0.9273404750815091
SAD,0.0,10,0.9278846153846154,0.9280724158653846,0.9274553571428571
ORACLE,0.0,10,0.9975961538461539,0.9975967863225876,0.9975676924066397
DEM,0.0,10,0.9399038461538461,0.9399994899000205,0.9393709738537326
RANDOM,0.0,10,0.7427884615384616,0.7434804864957008,0.7424536107527007
MACE,0.1,1,0.9349397590361446,0.9349948945090923,0.9340575914689767
MACE,0.0,1,0.9349397590361446,0.9349948945090923,0.9340575914689767
MACE,0.1,2,0.9397590361445783,0.9397753261958827,0.9390096937845733
MACE,0.0,2,0.9421686746987952,0.9421992553055937,0.9414806110458285
MACE,0.1,3,0.9447115384615384,0.944784273251408,0.9440569253527139
MACE,0.0,3,0.9423076923076923,0.9423697923697923,0.9415935415935417
MACE,0.1,4,0.9399038461538461,0.9399196580646874,0.9391923101659932
MACE,0.0,4,0.9447115384615384,0.9447260854195124,0.9440569253527139
MACE,0.1,5,0.9423076923076923,0.9422766422766422,0.9415935415935416
MACE,0.0,5,0.9447115384615384,0.9446969915035647,0.9440569253527139
MACE,0.1,6,0.9423076923076923,0.942341518328291,0.941462041792725
MACE,0.0,6,0.9447115384615384,0.9447591632240484,0.9439336673405407
MACE,0.1,7,0.9447115384615384,0.9448009593725668,0.9437279084402256
MACE,0.0,7,0.9447115384615384,0.9448009593725668,0.9437279084402256
MACE,0.1,8,0.9375,0.9375763125763126,0.9365079365079365
MACE,0.0,8,0.9375,0.9375763125763126,0.9365079365079365
MACE,0.1,9,0.9350961538461539,0.9351520611760569,0.9341830007910696
MACE,0.0,9,0.9350961538461539,0.9351520611760569,0.9341830007910696
MACE,0.1,10,0.9399038461538461,0.9399491270351544,0.9392548201884269
MACE,0.0,10,0.9471153846153846,0.9471672528601632,0.9465707680452093
DS,0.1,1,0.9373493975903614,0.9374487845624566,0.9366039952996474
MV,0.1,1,0.9301204819277108,0.930300684054901,0.9294652014652014
DS,0.0,1,0.9373493975903614,0.9374487845624566,0.9366039952996474
MV,0.0,1,0.9349397590361446,0.935127951862256,0.9343896569290495
DS,0.1,2,0.944578313253012,0.9446465901856645,0.9440047870187316
MV,0.1,2,0.9373493975903614,0.9375185296158456,0.9369507292445775
DS,0.0,2,0.944578313253012,0.9446465901856645,0.9440047870187316
MV,0.0,2,0.9349397590361446,0.9350700463772986,0.9343896569290495
DS,0.1,3,0.9447115384615384,0.9448087414200803,0.9441144345733528
MV,0.1,3,0.9350961538461539,0.935294456359849,0.9346334479808649
DS,0.0,3,0.9447115384615384,0.9448087414200803,0.9441144345733528
MV,0.0,3,0.9302884615384616,0.9304837660752057,0.9297325947800357
DS,0.1,4,0.9471153846153846,0.9471425810047829,0.9465170640486208
MV,0.1,4,0.9423076923076923,0.9424098906477761,0.9418222501922943
DS,0.0,4,0.9471153846153846,0.9471672528601632,0.9465707680452093
MV,0.0,4,0.9423076923076923,0.9424098906477761,0.9418222501922943
DS,0.1,5,0.9471153846153846,0.947141318737774,0.9465707680452093
MV,0.1,5,0.9447115384615384,0.9448128930796494,0.9443173816133295
DS,0.0,5,0.9471153846153846,0.947141318737774,0.9465707680452093
MV,0.0,5,0.9326923076923077,0.9327817312398812,0.9321259585576767
DS,0.1,6,0.9495192307692307,0.9495886670529772,0.948866529702014
MV,0.1,6,0.9350961538461539,0.9352879878741949,0.934520651762031
DS,0.0,6,0.9495192307692307,0.9495886670529772,0.948866529702014
MV,0.0,6,0.9423076923076923,0.9424692049272116,0.9417693169092944
DS,0.1,7,0.9447115384615384,0.9448320223421987,0.9437993033651106
MV,0.1,7,0.9423076923076923,0.9424768224106858,0.941462041792725
DS,0.0,7,0.9447115384615384,0.9448320223421987,0.9437993033651106
MV,0.0,7,0.9375,0.9377571294997663,0.9367928938756429
DS,0.1,8,0.9399038461538461,0.9400246335949947,0.9390583340658052
MV,0.1,8,0.9326923076923077,0.9329233571463215,0.9319991593302664
DS,0.0,8,0.9399038461538461,0.9400246335949947,0.9390583340658052
MV,0.0,8,0.9278846153846154,0.9281538030838143,0.9272116461366181
DS,0.1,9,0.9375,0.9376009126009126,0.9367263367263368
MV,0.1,9,0.9302884615384616,0.9305138129270124,0.9297325947800357
DS,0.0,9,0.9375,0.9376009126009126,0.9367263367263368
MV,0.0,9,0.9326923076923077,0.9328573430166032,0.9319991593302663
DS,0.1,10,0.9423076923076923,0.9423642758474509,0.9417135651402284
MV,0.1,10,0.9375,0.9376107148684242,0.9369741043749854
DS,0.0,10,0.9447115384615384,0.9447776749144366,0.9441692195477754
MV,0.0,10,0.9326923076923077,0.9328520606792858,0.932239674229203
